Todd;Adrenaline Stadium;Ленинградский просп., 80, стр. 17
Леди Совершенство с Нонной Гришаевой;Областной ТЮЗ;ул. Прохладная, 28
Все оттенки голубого;Планета КВН;ул. Шереметьевская, 2
Сияние;Электротеатр Станиславский;ул. Тверская, 23
Russian Tattoo Expo;КВЦ «Сокольники»;5-й Лучевой просек, 7, стр. 1
Чемпионат Европы по пляжному волейболу 2019;Лужники / Luzhniki Sports Complex;Лужнецкая наб., 24
Park Live 2019;Парк Горького;ул. Крымский Вал, 9
Песчаная сказка;Большой цирк на проспекте Вернадского;просп. Вернадского, 7
Moscow Classic 2019. 2 этап;Lorem;Волоколамский р-н, дер. Шелудьково
Дикая мята 2019;Lorem;Тульская обл., Алексинский р-н, дер. Бунырёво
Джазовые сезоны;Горки Ленинские;Московская обл., р/п Горки Ленинские, ул. Центральная, 1
